id,subject,description,resolution
TCK-001,Cannot log in after password reset,"User reset their password via the email link but the new password is rejected on the login page with 'invalid credentials'.","Cleared the cached session token and asked the user to reset the password again using an incognito window; confirmed login succeeded. Root cause was a stale session cookie overriding the new credentials."
TCK-002,Password reset email never arrives,"Customer requested a password reset three times but says the email never shows up, even in spam.","Found the account's email was on our provider's suppression list from a prior bounce. Removed it from the suppression list and manually resent the reset link, which the user received within a minute."
TCK-003,Locked out after too many failed logins,"User is locked out of their account after repeated failed login attempts and cannot self-service unlock.","Manually unlocked the account from the admin panel and walked the user through the correct password format. Advised enabling the 'show password' toggle to avoid future typos."
TCK-004,SSO login redirects to blank page,"When logging in via the company SSO provider, the user is redirected back to our app but sees a blank white page instead of the dashboard.","Identified an expired SSO certificate on our identity provider config. Rotated the certificate and the SSO redirect completed normally on retest."
TCK-005,Invoice shows duplicate charge,"Customer was billed twice for the same monthly subscription in one billing cycle.","Confirmed a duplicate charge caused by a retried webhook from the payment processor. Refunded the duplicate charge and added an idempotency key to the billing webhook handler."
TCK-006,Invoice total doesn't match plan price,"The invoice PDF shows a total that is $10 higher than the advertised plan price with no visible line item explaining the difference.","Traced the discrepancy to a prorated upgrade charge from mid-cycle that wasn't labeled clearly. Reissued the invoice with an explicit 'prorated upgrade' line item and explained the charge to the customer."
TCK-007,Credit card declined but subscription still active,"User's card was declined during renewal, but they were never notified and the subscription silently downgraded to free tier.","Enabled failed-payment email notifications and manually restored the user's paid tier after they updated their card. Backfilled the missing days of paid access as a goodwill credit."
TCK-008,Refund not reflected in account balance,"Customer received a refund confirmation email but their account balance in the billing dashboard still shows the old amount.","Found the billing dashboard was reading from a cached balance snapshot refreshed only once per day. Forced a manual cache refresh and shortened the cache TTL to 15 minutes."
TCK-009,API returns 429 errors during normal usage,"Integration partner reports frequent 429 Too Many Requests errors even though their traffic is well under the documented rate limit.","Discovered the rate limiter was counting requests per API key globally instead of per endpoint, exhausting the shared budget quickly. Fixed the limiter to key on (api_key, endpoint) and rate limits behaved as documented."
TCK-010,Rate limit headers missing from API responses,"Developer says our API responses don't include X-RateLimit-Remaining headers, making it hard to back off proactively.","Added the missing X-RateLimit-Limit, X-RateLimit-Remaining, and X-RateLimit-Reset headers to every API response and published the change in the API changelog."
TCK-011,Bulk import endpoint times out under load,"Calling the /bulk-import API endpoint with more than 500 records consistently times out after 30 seconds.","Added pagination support so clients can submit records in batches of 100, and increased the endpoint timeout to 60 seconds for the interim. Documented the new batching requirement."
TCK-012,API key stopped working with no warning,"A previously working API key suddenly returns 401 Unauthorized with no prior notice of expiration.","Found API keys were silently expiring after 90 days with no reminder. Issued the customer a new key immediately and added an email reminder sent 7 days before key expiration."
TCK-013,CSV export is missing recent records,"Customer exported their data to CSV but the file is missing records created in the last 24 hours.","Traced the issue to the export job reading from a read replica with replication lag. Switched the export job to read from the primary database for exports smaller than 10,000 rows."
TCK-014,Data export file is corrupted,"The exported ZIP file customers download fails to open, showing a 'corrupted archive' error in most unzip tools.","Found the export was being truncated when generation exceeded a 5-minute Lambda timeout. Increased the function timeout and added a checksum step to verify the archive before making it downloadable."
TCK-015,Import fails silently with no error message,"Uploading a CSV of contacts for import appears to succeed but none of the records show up afterward, with no error shown.","Identified that rows with an unescaped comma in a free-text field were silently dropped during parsing. Switched the importer to a strict CSV parser that surfaces malformed rows to the user instead of dropping them."
TCK-016,Export button does nothing on Safari,"Clicking 'Export Data' produces no visible response in Safari, though it works fine in Chrome.","Found a Safari-specific issue where the download was blocked because the export used a data URI over the browser's size limit. Switched to a blob-based download link, which works across all major browsers."
TCK-017,Not receiving order confirmation emails,"Customer placed an order and never received the confirmation email, though the order shows as completed in our system.","Determined the transactional email provider had a delayed queue during a traffic spike, delaying delivery by over an hour. Resent the confirmation immediately and added a delivery-time alert for the provider's queue depth."
TCK-018,Notification emails going to spam folder,"Multiple customers report that our weekly digest emails are landing in their spam folder instead of the inbox.","Found our sending domain was missing a DMARC record, hurting sender reputation. Published a proper SPF, DKIM, and DMARC configuration, and inbox placement improved within a week."
TCK-019,Duplicate notification emails sent,"User received the same 'password changed' notification email five times within a minute.","Found a retry loop in the notification worker that resent on any non-200 response, including from a flaky logging endpoint unrelated to delivery. Fixed the retry logic to only retry on actual send failures."
TCK-020,Unsubscribe link in emails doesn't work,"Clicking 'unsubscribe' in marketing emails leads to an error page and the user keeps receiving emails afterward.","Found the unsubscribe token had a bug in URL encoding for addresses containing a '+' character. Fixed the encoding and manually unsubscribed the affected users who had reported the issue."
