id,subject,description,resolution
TCK-101,Mobile app crashes on startup,"Since installing the latest version, the mobile app crashes within two seconds of opening on both iOS and Android.","Fixed a startup crash in the mobile app caused by a null config value on first launch. Released a mobile app hotfix."
TCK-102,Mobile app crashes when opening dashboard,"Tapping into the dashboard tab reliably crashes the mobile app for users on older devices.","Fixed a dashboard crash in the mobile app caused by an out-of-memory image load. Released a mobile app hotfix."
TCK-103,Mobile app keeps crashing after update,"Several users report the mobile app crashes repeatedly ever since the last update went out.","Fixed a crash in the mobile app introduced by the last update's onboarding screen. Released a mobile app hotfix."
TCK-104,Mobile app crashes randomly in background,"Users say the mobile app crashes after sitting in the background for a while and has to be force-restarted.","Fixed a background crash in the mobile app caused by a memory leak in the sync worker. Released a mobile app hotfix."
TCK-105,Password reset link doesn't work,"Customer clicks the password reset link from the email but lands on an error page instead of the reset form.","Fixed a broken password reset link caused by a malformed token in the reset email template. Resent a working password reset link to the customer."
TCK-106,Password reset link expired instantly,"Customer clicks the password reset link within a minute of receiving it but it already says 'expired'.","Fixed the password reset link expiry, which was misconfigured to 60 seconds instead of 60 minutes. Resent a working password reset link to the customer."
TCK-107,Users can't reset their password,"Multiple users report the password reset form silently fails and their password never actually changes.","Fixed a validation bug in the password reset form that rejected valid new passwords. Resent password reset instructions to the affected users."
TCK-108,Password reset email delayed by hours,"Customer requested a password reset and the reset email didn't arrive until three hours later.","Fixed a backlog in the password reset email queue caused by a stuck worker. Cleared the queue and resent the password reset email immediately."
TCK-109,Duplicate charge on renewal,"Customer was charged twice for their annual renewal on the same day.","Confirmed a duplicate charge caused by a race condition in the renewal job. Refunded the duplicate charge and added a lock to prevent concurrent renewal runs."
TCK-110,Customer billed twice for same invoice,"The same invoice was charged to the customer's card two times within an hour.","Confirmed a duplicate charge from a retried billing webhook. Refunded the duplicate charge and added an idempotency key to the billing webhook handler."
TCK-111,Duplicate charge appears on billing statement,"Customer's card statement shows the same subscription charge listed twice for this month.","Confirmed a duplicate charge caused by a billing job that ran twice after a deploy. Refunded the duplicate charge and added a guard against re-running the job."
TCK-112,Invoice shows two identical charges,"The invoice PDF lists the same line item and charge amount twice instead of once.","Confirmed a duplicate charge caused by the invoice generator double-counting a prorated add-on. Refunded the duplicate charge and fixed the invoice generator."
